광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	성북구	정릉제2동	소계	17972	13585	4387	35	13550	5609	2977	3166	875	861	19	1	7	5	6	4	11	9
서울특별시	성북구	정릉제3동	소계	11926	8514	3412	37	8477	3314	1981	1998	560	589	11	1	4	2	9	0	5	3
서울특별시	성북구	정릉제4동	소계	20306	15443	4863	39	15404	6645	3168	3570	994	958	23	2	11	1	13	3	4	12
서울특별시	성북구	길음제1동	소계	25371	20949	4422	48	20901	9860	3474	4653	1567	1276	31	0	7	0	8	7	8	10
서울특별시	성북구	길음제2동	소계	9278	6657	2621	16	6641	2744	1417	1647	405	388	13	1	10	4	5	1	3	3
서울특별시	성북구	종암동	소계	30880	24034	6846	65	23969	10462	4760	5478	1601	1575	32	2	11	6	10	5	10	17
서울특별시	성북구	월곡제1동	소계	20965	16226	4739	45	16181	7373	2881	3917	992	946	19	2	15	2	15	5	5	9
서울특별시	성북구	월곡제2동	소계	15969	12240	3729	36	12204	5221	2575	2725	814	825	21	0	6	1	8	4	0	4
서울특별시	성북구	장위제1동	소계	16908	11659	5249	34	11625	4714	2490	3040	618	701	23	6	16	1	1	2	3	10
서울특별시	성북구	장위제2동	소계	15755	11011	4744	52	10959	4177	2876	2750	532	566	13	1	15	0	9	3	5	12
서울특별시	성북구	장위제3동	소계	9536	6833	2703	23	6810	2648	1669	1740	361	363	9	1	2	2	4	3	5	3
서울특별시	성북구	석관동	소계	26525	19403	7122	79	19324	7866	4506	4601	1125	1163	15	1	14	2	8	9	6	8
서울특별시	강북구	거소·선상투표	거소·선상투표	429	405	24	13	392	148	63	137	27	9	1	3	1	0	1	0	0	2
서울특별시	강북구	관외사전투표	관외사전투표	22519	22516	3	111	22405	10780	3302	4950	1448	1826	31	5	7	2	11	7	10	26
서울특별시	강북구	재외투표	재외투표	2193	1626	567	2	1624	1005	125	248	50	183	10	0	1	0	0	0	1	1
서울특별시	강북구	삼양동	소계	21885	15162	6723	37	15125	6430	2977	3852	850	957	18	2	14	1	7	2	8	7
서울특별시	강북구	미아동	소계	19670	14483	5187	42	14441	6289	2771	3571	814	937	23	2	9	1	8	6	6	4
서울특별시	강북구	송중동	소계	22470	15914	6556	55	15859	6783	3237	3961	888	920	16	5	20	1	9	3	7	9
서울특별시	강북구	송천동	소계	24133	17273	6860	61	17212	7206	3540	4539	861	982	26	1	15	7	12	3	5	15
서울특별시	강북구	삼각산동	소계	23551	19085	4466	32	19053	8969	3100	4548	1204	1177	17	2	6	4	7	5	7	7
서울특별시	강북구	번제1동	소계	15898	10884	5014	38	10846	4395	2341	2773	603	676	23	3	12	1	7	3	5	4
