광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
인천광역시	2800	남구	327614	140572	138590	1982	187042	민주당	8159
인천광역시	2800	연수구	191076	88040	87180	860	103036	민주당	3596
인천광역시	2800	남동구	284121	123414	122009	1405	160707	민주당	9692
인천광역시	2800	부평구	425004	181468	179314	2154	243536	민주당	14924
인천광역시	2800	계양구	239585	100433	99398	1035	139152	민주당	7344
인천광역시	2800	서구	271645	114475	113111	1364	157170	민주당	8777
인천광역시	2800	강화군	53699	35401	33837	1564	18298	민주당	1419
인천광역시	2800	옹진군	13268	10165	9798	367	3103	민주당	413
인천광역시	2800	중구	72876	34797	34232	565	38079	민주노동당	3631
인천광역시	2800	동구	61515	30819	30244	575	30696	민주노동당	4947
인천광역시	2800	남구	327614	140572	138590	1982	187042	민주노동당	16991
인천광역시	2800	연수구	191076	88040	87180	860	103036	민주노동당	11210
인천광역시	2800	남동구	284121	123414	122009	1405	160707	민주노동당	17359
인천광역시	2800	부평구	425004	181468	179314	2154	243536	민주노동당	28865
인천광역시	2800	계양구	239585	100433	99398	1035	139152	민주노동당	13535
인천광역시	2800	서구	271645	114475	113111	1364	157170	민주노동당	15782
인천광역시	2800	강화군	53699	35401	33837	1564	18298	민주노동당	3226
인천광역시	2800	옹진군	13268	10165	9798	367	3103	민주노동당	601
인천광역시	2800	중구	72876	34797	34232	565	38079	희망사회당	263
인천광역시	2800	동구	61515	30819	30244	575	30696	희망사회당	343
인천광역시	2800	남구	327614	140572	138590	1982	187042	희망사회당	1103
인천광역시	2800	연수구	191076	88040	87180	860	103036	희망사회당	510
인천광역시	2800	남동구	284121	123414	122009	1405	160707	희망사회당	915
인천광역시	2800	부평구	425004	181468	179314	2154	243536	희망사회당	1537
인천광역시	2800	계양구	239585	100433	99398	1035	139152	희망사회당	753
인천광역시	2800	서구	271645	114475	113111	1364	157170	희망사회당	866
인천광역시	2800	강화군	53699	35401	33837	1564	18298	희망사회당	725
인천광역시	2800	옹진군	13268	10165	9798	367	3103	희망사회당	241
광주광역시	2900	동구	90767	43239	42492	747	47528	열린우리당	12460
광주광역시	2900	서구	221034	102565	101398	1167	118469	열린우리당	28996
광주광역시	2900	남구	161406	78304	77257	1047	83102	열린우리당	21589
광주광역시	2900	북구	333413	147710	145796	1914	185703	열린우리당	43257
광주광역시	2900	광산구	208000	97518	95966	1552	110482	열린우리당	25131
광주광역시	2900	동구	90767	43239	42492	747	47528	한나라당	2724
광주광역시	2900	서구	221034	102565	101398	1167	118469	한나라당	4840
광주광역시	2900	남구	161406	78304	77257	1047	83102	한나라당	3727
광주광역시	2900	북구	333413	147710	145796	1914	185703	한나라당	6679
광주광역시	2900	광산구	208000	97518	95966	1552	110482	한나라당	3937
광주광역시	2900	동구	90767	43239	42492	747	47528	민주당	21370
광주광역시	2900	서구	221034	102565	101398	1167	118469	민주당	48784
광주광역시	2900	남구	161406	78304	77257	1047	83102	민주당	41447
광주광역시	2900	북구	333413	147710	145796	1914	185703	민주당	71810
광주광역시	2900	광산구	208000	97518	95966	1552	110482	민주당	45120
광주광역시	2900	동구	90767	43239	42492	747	47528	민주노동당	5476
광주광역시	2900	서구	221034	102565	101398	1167	118469	민주노동당	18008
광주광역시	2900	남구	161406	78304	77257	1047	83102	민주노동당	9851
광주광역시	2900	북구	333413	147710	145796	1914	185703	민주노동당	22733
광주광역시	2900	광산구	208000	97518	95966	1552	110482	민주노동당	20501
광주광역시	2900	동구	90767	43239	42492	747	47528	희망사회당	462
광주광역시	2900	서구	221034	102565	101398	1167	118469	희망사회당	770
광주광역시	2900	남구	161406	78304	77257	1047	83102	희망사회당	643
광주광역시	2900	북구	333413	147710	145796	1914	185703	희망사회당	1317
광주광역시	2900	광산구	208000	97518	95966	1552	110482	희망사회당	1277
대전광역시	3000	동구	183206	87966	86348	1618	95240	열린우리당	22994
대전광역시	3000	중구	203076	100890	99351	1539	102186	열린우리당	25798
대전광역시	3000	서구	367265	182487	180402	2085	184778	열린우리당	47041
대전광역시	3000	유성구	164867	84059	83160	899	80808	열린우리당	23635
대전광역시	3000	대덕구	159054	77151	76064	1087	81903	열린우리당	19968
대전광역시	3000	동구	183206	87966	86348	1618	95240	한나라당	38154
대전광역시	3000	중구	203076	100890	99351	1539	102186	한나라당	46611
대전광역시	3000	서구	367265	182487	180402	2085	184778	한나라당	87338
대전광역시	3000	유성구	164867	84059	83160	899	80808	한나라당	38466
대전광역시	3000	대덕구	159054	77151	76064	1087	81903	한나라당	33220
대전광역시	3000	동구	183206	87966	86348	1618	95240	민주노동당	6875
대전광역시	3000	중구	203076	100890	99351	1539	102186	민주노동당	6739
대전광역시	3000	서구	367265	182487	180402	2085	184778	민주노동당	14981
