광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	가자희망2080	공화당	구국총연합	국민통합21	기독당	노년권익보호당	녹색사민당	민주노동당	민주화합당	사회당	새천년민주당	열린우리당	자민련	한나라당
전라남도	4600	해남군	69460	44948	43331	1617	24512	41	97	46	255	357	69	160	4348	624	198	18056	17482	396	1202
전라남도	4600	진도군	30103	19297	18497	800	10806	20	47	23	140	165	43	68	1631	350	140	8489	6607	212	562
전라남도	4600	영암군	47676	29338	28545	793	18338	85	151	27	316	236	44	104	3601	248	118	9069	13442	244	860
전라남도	4600	무안군	49981	32441	31458	983	17540	41	59	31	114	263	60	111	2533	480	149	13001	12939	202	1475
전라남도	4600	영광군	49017	33549	32622	927	15468	38	49	28	169	206	65	194	2747	435	129	11914	15528	267	853
전라남도	4600	함평군	33200	21949	21334	615	11251	26	32	12	99	183	38	82	1941	239	98	9592	8293	245	454
전라남도	4600	신안군	40166	25697	24670	1027	14469	40	59	40	153	230	41	73	1535	634	180	12371	8288	194	832
경상북도	4700	포항시북구	180925	110813	109053	1760	70112	89	134	47	792	1122	227	852	15596	168	381	1347	24706	918	62674
경상북도	4700	포항시남구	187980	114628	112914	1714	73352	369	101	37	416	902	207	735	18334	164	322	1594	30221	1092	58420
경상북도	4700	울릉군	7259	5219	5107	112	2040	12	6	2	16	52	5	12	331	9	20	71	1581	36	2954
경상북도	4700	경주시	209781	128117	125464	2653	81664	1725	369	246	555	1008	277	569	17252	187	504	1608	25456	1235	74473
경상북도	4700	김천시	110441	68248	66555	1693	42193	70	101	31	204	719	127	356	5957	136	466	880	12889	1177	43442
경상북도	4700	안동시	134243	83138	81375	1763	51105	87	147	59	585	718	183	359	10035	200	460	1176	18927	1201	47238
경상북도	4700	구미시	242896	135620	133935	1685	107276	118	104	74	337	1389	182	1768	19526	120	331	1429	34581	1586	72390
경상북도	4700	영주시	94035	62740	61488	1252	31295	87	72	36	446	551	118	212	6479	109	320	694	13217	482	38665
