광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
전라북도	장수군	합계	합계	20123	16079	4044	104	15975	10714	717	3353	342	688	8	6	14	3	18	21	17	74
전라북도	임실군	합계	합계	25863	20381	5482	155	20226	12893	771	5009	403	904	6	10	20	11	17	23	32	127
전라북도	순창군	합계	합계	25319	20126	5193	118	20008	12309	688	5624	324	755	15	9	11	7	114	23	22	107
전라북도	고창군	합계	합계	50734	39188	11546	289	38899	23877	1215	11182	722	1433	31	20	30	11	95	47	53	183
전라북도	부안군	합계	합계	49026	36647	12379	222	36425	22482	1507	9837	695	1622	10	11	40	10	27	27	29	128
전라남도	목포시	합계	합계	187620	145476	42144	515	144961	77896	2584	53303	3013	7529	60	21	93	21	216	47	36	142
전라남도	순천시	합계	합계	223756	181451	42305	667	180784	122595	4525	40429	4326	7475	55	33	100	36	879	55	75	201
전라남도	여수시	합계	합계	235605	185487	50118	697	184790	117586	4281	50228	4207	7384	48	20	148	26	441	78	60	283
전라남도	나주시	합계	합계	89312	71599	17713	409	71190	43967	1448	21011	1484	2686	34	14	50	20	147	63	67	199
전라남도	광양시	합계	합계	120767	96384	24383	335	96049	63544	4100	20080	3145	4553	48	15	61	22	270	22	38	151
전라남도	담양군	합계	합계	41434	33020	8414	194	32826	19961	698	10017	597	1212	10	12	25	10	121	30	29	104
전라남도	장성군	합계	합계	39083	30670	8413	150	30520	17378	851	10167	674	1190	17	13	46	13	47	23	16	85
전라남도	곡성군	합계	합계	26671	21247	5424	199	21048	12152	624	6850	340	795	9	6	44	6	86	26	16	94
전라남도	구례군	합계	합계	23487	18924	4563	113	18811	11873	628	5188	285	639	4	3	20	2	93	13	13	50
전라남도	고흥군	합계	합계	60101	47036	13065	422	46614	26882	1349	15614	703	1195	14	17	266	8	202	59	54	251
전라남도	보성군	합계	합계	38902	29967	8935	186	29781	16666	732	10514	537	945	13	6	51	14	94	34	48	127
전라남도	화순군	합계	합계	54493	43572	10921	230	43342	25867	770	13832	727	1662	12	11	35	10	170	47	46	153
