광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민참여당	미래연합	민주노동당	민주당	사회당	자유선진당	진보신당	친박연합	평화민주당	한나라당
경기도	4100	오산시	122466	60037	59075	962	62429	4468	652	2674	24280	158	3514	829	0	0	22500
경기도	4100	화성시	362455	181432	178456	2976	181023	19760	2527	9499	68695	601	3562	3262	0	0	70550
경기도	4100	시흥시	292124	133784	132053	1731	158340	12496	818	5168	57520	306	3088	2316	0	0	50341
경기도	4100	군포시	210528	119530	118073	1457	90998	10857	1185	5074	49574	199	3260	3406	0	0	44518
경기도	4100	하남시	118086	62714	61680	1034	55372	4137	555	3484	23229	150	1401	937	0	0	27787
경기도	4100	파주시	252147	128307	125652	2655	123840	10519	2053	6050	44002	554	2533	3194	0	0	56747
경기도	4100	여주군	85162	44838	43616	1222	40324	2348	4644	1485	12396	239	738	1170	0	0	20596
경기도	4100	이천시	150045	76348	74439	1909	73697	7348	3326	3129	22012	380	1473	1173	0	0	35598
경기도	4100	용인시처인구	155746	76547	74953	1594	79199	5839	1049	2731	28170	298	1758	1270	0	0	33838
경기도	4100	용인시수지구	215476	121287	119958	1329	94189	13347	1550	3880	37039	148	2130	3455	0	0	58409
경기도	4100	용인시기흥구	253306	135338	133901	1437	117968	17200	1729	5381	45945	219	2556	3747	0	0	57124
경기도	4100	안성시	132734	68110	66008	2102	64624	4099	1775	3772	25119	512	1727	1179	0	0	27825
경기도	4100	김포시	174520	93627	91942	1685	80893	7935	1076	2772	33511	261	1844	1761	0	0	42782
경기도	4100	광주시	184550	90801	89263	1538	93749	6579	2237	2959	32485	249	1607	1606	0	0	41541
경기도	4100	포천시	123373	62917	60908	2009	60456	3017	3815	2557	17696	440	1121	1140	0	0	31122
경기도	4100	연천군	36674	22654	21648	1006	14020	895	396	762	6272	152	1974	448	0	0	10749
경기도	4100	양평군	75915	45986	44340	1646	29929	2733	786	1455	11400	276	997	933	0	0	25760
경기도	4100	가평군	47257	31058	29357	1701	16199	1754	553	1056	8273	265	745	702	0	0	16009
강원도	4200	춘천시	206172	124845	121558	3287	81327	5120	0	8795	52119	793	0	3497	0	0	51234
강원도	4200	원주시	234095	133453	130481	2972	100642	5108	0	10114	56434	749	0	2631	0	0	55445
강원도	4200	강릉시	170703	99253	96007	3246	71450	5148	0	4778	31986	738	0	2056	0	0	51301
강원도	4200	동해시	73611	44943	43475	1468	28668	2162	0	2267	14974	320	0	1274	0	0	22478
강원도	4200	삼척시	58602	40384	38635	1749	18218	1693	0	2509	10867	457	0	1385	0	0	21724
강원도	4200	태백시	40415	26818	25814	1004	13597	1311	0	1369	10040	253	0	735	0	0	12106
강원도	4200	정선군	33811	24527	23258	1269	9284	798	0	1106	10254	247	0	484	0	0	10369
강원도	4200	속초시	64606	37575	36314	1261	27031	1567	0	1856	11918	208	0	1569	0	0	19196
강원도	4200	고성군	25324	18937	17845	1092	6387	768	0	960	5519	221	0	387	0	0	9990
강원도	4200	양양군	23195	16944	15912	1032	6251	797	0	830	5205	214	0	612	0	0	8254
강원도	4200	인제군	24855	17697	16757	940	7158	725	0	1122	6078	208	0	447	0	0	8177
강원도	4200	홍천군	56113	35571	34293	1278	20542	2074	0	2092	12633	426	0	667	0	0	16401
강원도	4200	횡성군	36396	24899	23964	935	11497	853	0	1236	10720	199	0	459	0	0	10497
강원도	4200	영월군	33315	22246	21533	713	11069	626	0	783	9887	219	0	365	0	0	9653
강원도	4200	평창군	35758	24420	23419	1001	11338	677	0	962	10815	153	0	416	0	0	10396
강원도	4200	화천군	19298	13439	12854	585	5859	410	0	766	4895	111	0	306	0	0	6366
강원도	4200	양구군	16882	11910	11478	432	4972	368	0	1416	3998	141	0	203	0	0	5352
강원도	4200	철원군	37358	23811	22820	991	13547	644	0	1363	9004	147	0	423	0	0	11239
충청북도	4300	청주시상당구	182613	100213	98486	1727	82400	4396	2432	3434	48189	366	5863	1339	0	0	32467
충청북도	4300	청주시흥덕구	296977	159872	157524	2348	137105	7004	5476	6854	78794	506	8217	2758	0	0	47915
충청북도	4300	충주시	161522	94691	91918	2773	66831	2543	1960	2790	43750	496	2616	1117	0	0	36646
충청북도	4300	제천시	107034	63335	61628	1707	43699	1954	1598	2977	24551	449	2707	747	0	0	26645
충청북도	4300	단양군	26512	18915	18125	790	7597	653	825	607	7417	174	814	244	0	0	7391
충청북도	4300	청원군	117270	69625	67547	2078	47645	2713	881	3379	34810	507	4779	933	0	0	19545
충청북도	4300	영동군	41711	28876	27377	1499	12835	627	1949	1160	6135	271	7115	589	0	0	9531
충청북도	4300	보은군	29345	21759	20649	1110	7586	481	603	788	5000	216	6713	391	0	0	6457
충청북도	4300	옥천군	44298	30571	29199	1372	13727	976	711	1203	6358	297	10005	498	0	0	9151
충청북도	4300	음성군	70936	40243	38842	1401	30693	1047	404	1946	19677	301	1805	494	0	0	13168
충청북도	4300	진천군	48180	29290	28305	985	18890	896	1951	1900	13919	294	848	441	0	0	8056
충청북도	4300	괴산군	31877	22352	20933	1419	9525	678	376	999	9432	276	984	572	0	0	7616
충청북도	4300	증평군	25536	16654	16010	644	8882	494	219	540	8387	143	701	222	0	0	5304
충청남도	4400	천안시서북구	221580	104688	103030	1658	116892	3244	953	4214	34984	282	29996	2243	0	0	27114
충청남도	4400	천안시동남구	183142	89013	87265	1748	94129	2146	976	3360	29254	332	25892	1304	0	0	24001
충청남도	4400	공주시	99709	61208	58493	2715	38501	3155	850	2033	16352	343	25188	1737	0	0	8835
충청남도	4400	보령시	85687	53700	50853	2847	31987	1394	1299	2665	9032	395	23904	700	0	0	11464
충청남도	4400	아산시	195443	99862	97085	2777	95581	2474	1061	5491	30993	375	31077	1317	0	0	24297
충청남도	4400	서산시	121199	66621	64352	2269	54578	1741	698	2747	15717	351	26332	929	0	0	15837
충청남도	4400	태안군	52517	36024	33272	2752	16493	827	519	1119	7197	295	14077	1119	0	0	8119
